week,cough
2020-03-15,96
2020-03-22,100
2020-03-29,54
2020-04-05,41
2020-04-12,37
2020-04-19,32
2020-04-26,27
2020-05-03,23
2020-05-10,19
2020-05-17,23
2020-05-24,20
2020-05-31,21
2020-06-07,23
2020-06-14,23
2020-06-21,31
2020-06-28,35
2020-07-05,39
2020-07-12,40
2020-07-19,42
2020-07-26,43
2020-08-02,36
2020-08-09,30
2020-08-16,29
2020-08-23,28
2020-08-30,24
2020-09-06,26
2020-09-13,24
2020-09-20,25
2020-09-27,22
2020-10-04,23
2020-10-11,21
2020-10-18,25
2020-10-25,23
2020-11-01,23
2020-11-08,23
2020-11-15,25
2020-11-22,29
2020-11-29,32
2020-12-06,33
2020-12-13,29
2020-12-20,30
2020-12-27,35
2021-01-03,29
2021-01-10,28
2021-01-17,29
2021-01-24,28
2021-01-31,28
2021-02-07,27
2021-02-14,26
2021-02-21,30
2021-02-28,28
2021-03-07,35
2021-03-14,37
