week,headache
2020-03-15,84
2020-03-22,96
2020-03-29,94
2020-04-05,91
2020-04-12,92
2020-04-19,90
2020-04-26,91
2020-05-03,77
2020-05-10,77
2020-05-17,77
2020-05-24,88
2020-05-31,79
2020-06-07,77
2020-06-14,64
2020-06-21,83
2020-06-28,78
2020-07-05,92
2020-07-12,93
2020-07-19,100
2020-07-26,91
2020-08-02,89
2020-08-09,89
2020-08-16,83
2020-08-23,89
2020-08-30,77
2020-09-06,76
2020-09-13,67
2020-09-20,66
2020-09-27,73
2020-10-04,62
2020-10-11,58
2020-10-18,71
2020-10-25,70
2020-11-01,70
2020-11-08,66
2020-11-15,70
2020-11-22,67
2020-11-29,65
2020-12-06,72
2020-12-13,62
2020-12-20,67
2020-12-27,74
2021-01-03,71
2021-01-10,67
2021-01-17,70
2021-01-24,70
2021-01-31,59
2021-02-07,69
2021-02-14,64
2021-02-21,73
2021-02-28,75
2021-03-07,79
2021-03-14,83
