week,Frontliners
2020-03-15,27
2020-03-22,74
2020-03-29,100
2020-04-05,80
2020-04-12,62
2020-04-19,66
2020-04-26,61
2020-05-03,43
2020-05-10,35
2020-05-17,29
2020-05-24,24
2020-05-31,18
2020-06-07,13
2020-06-14,11
2020-06-21,11
2020-06-28,9
2020-07-05,9
2020-07-12,7
2020-07-19,10
2020-07-26,13
2020-08-02,33
2020-08-09,17
2020-08-16,26
2020-08-23,36
2020-08-30,38
2020-09-06,22
2020-09-13,21
2020-09-20,20
2020-09-27,22
2020-10-04,48
2020-10-11,37
2020-10-18,34
2020-10-25,34
2020-11-01,27
2020-11-08,20
2020-11-15,22
2020-11-22,24
2020-11-29,26
2020-12-06,27
2020-12-13,12
2020-12-20,7
2020-12-27,5
2021-01-03,14
2021-01-10,16
2021-01-17,16
2021-01-24,19
2021-01-31,15
2021-02-07,15
2021-02-14,17
2021-02-21,18
2021-02-28,20
2021-03-07,15
2021-03-14,12
