week,Quarantine
2020-03-15,100
2020-03-22,70
2020-03-29,52
2020-04-05,47
2020-04-12,36
2020-04-19,48
2020-04-26,35
2020-05-03,29
2020-05-10,48
2020-05-17,25
2020-05-24,27
2020-05-31,17
2020-06-07,14
2020-06-14,16
2020-06-21,11
2020-06-28,16
2020-07-05,11
2020-07-12,14
2020-07-19,12
2020-07-26,16
2020-08-02,21
2020-08-09,11
2020-08-16,16
2020-08-23,10
2020-08-30,12
2020-09-06,9
2020-09-13,9
2020-09-20,8
2020-09-27,10
2020-10-04,10
2020-10-11,9
2020-10-18,14
2020-10-25,12
2020-11-01,8
2020-11-08,6
2020-11-15,7
2020-11-22,7
2020-11-29,8
2020-12-06,7
2020-12-13,6
2020-12-20,6
2020-12-27,9
2021-01-03,7
2021-01-10,7
2021-01-17,7
2021-01-24,8
2021-01-31,7
2021-02-07,6
2021-02-14,7
2021-02-21,7
2021-02-28,9
2021-03-07,10
2021-03-14,10
