week,ubo
2020-03-15,100
2020-03-22,99
2020-03-29,64
2020-04-05,52
2020-04-12,52
2020-04-19,31
2020-04-26,41
2020-05-03,34
2020-05-10,23
2020-05-17,31
2020-05-24,28
2020-05-31,33
2020-06-07,36
2020-06-14,44
2020-06-21,54
2020-06-28,60
2020-07-05,63
2020-07-12,60
2020-07-19,50
2020-07-26,54
2020-08-02,48
2020-08-09,41
2020-08-16,38
2020-08-23,36
2020-08-30,32
2020-09-06,36
2020-09-13,37
2020-09-20,33
2020-09-27,34
2020-10-04,34
2020-10-11,39
2020-10-18,43
2020-10-25,45
2020-11-01,40
2020-11-08,46
2020-11-15,47
2020-11-22,48
2020-11-29,57
2020-12-06,48
2020-12-13,51
2020-12-20,46
2020-12-27,65
2021-01-03,56
2021-01-10,60
2021-01-17,70
2021-01-24,53
2021-01-31,54
2021-02-07,63
2021-02-14,55
2021-02-21,52
2021-02-28,62
2021-03-07,67
2021-03-14,70
