date,Quarantine
2020-03-16,100
2020-03-17,46
2020-03-18,38
2020-03-19,36
2020-03-20,39
2020-03-21,41
2020-03-22,39
2020-03-23,37
2020-03-24,35
2020-03-25,35
2020-03-26,36
2020-03-27,32
2020-03-28,23
2020-03-29,24
2020-03-30,28
2020-03-31,28
2020-04-01,28
2020-04-02,27
2020-04-03,26
2020-04-04,27
2020-04-05,30
2020-04-06,44
2020-04-07,31
2020-04-08,20
2020-04-09,15
2020-04-10,14
2020-04-11,16
2020-04-12,16
2020-04-13,21
2020-04-14,20
2020-04-15,20
2020-04-16,27
2020-04-17,27
2020-04-18,26
2020-04-19,28
2020-04-20,32
2020-04-21,35
2020-04-22,31
2020-04-23,41
2020-04-24,57
2020-04-25,25
2020-04-26,25
2020-04-27,27
2020-04-28,33
2020-04-29,27
2020-04-30,26
2020-05-01,23
2020-05-02,19
2020-05-03,19
2020-05-04,22
2020-05-05,17
2020-05-06,17
2020-05-07,25
2020-05-08,21
2020-05-09,18
2020-05-10,17
2020-05-11,23
2020-05-12,100
2020-05-13,35
2020-05-14,25
2020-05-15,27
2020-05-16,26
2020-05-17,70
2020-05-18,65
2020-05-19,51
2020-05-20,55
2020-05-21,68
2020-05-22,53
2020-05-23,47
2020-05-24,50
2020-05-25,54
2020-05-26,63
2020-05-27,60
2020-05-28,100
2020-05-29,78
2020-05-30,47
2020-05-31,53
2020-06-01,53
2020-06-02,42
2020-06-03,35
2020-06-04,36
2020-06-05,36
2020-06-06,38
2020-06-07,32
2020-06-08,34
2020-06-09,35
2020-06-10,32
2020-06-11,35
2020-06-12,34
2020-06-13,30
2020-06-14,39
2020-06-15,67
2020-06-16,44
2020-06-17,51
2020-06-18,51
2020-06-19,45
2020-06-20,44
2020-06-21,42
2020-06-22,42
2020-06-23,44
2020-06-24,46
2020-06-25,46
2020-06-26,44
2020-06-27,34
2020-06-28,42
2020-06-29,61
2020-06-30,100
2020-07-01,80
2020-07-02,48
2020-07-03,47
2020-07-04,44
2020-07-05,45
2020-07-06,52
2020-07-07,53
2020-07-08,46
2020-07-09,41
2020-07-10,47
2020-07-11,33
2020-07-12,38
2020-07-13,50
2020-07-14,55
2020-07-15,78
2020-07-16,66
2020-07-17,50
2020-07-18,26
2020-07-19,26
2020-07-20,28
2020-07-21,32
2020-07-22,29
2020-07-23,34
2020-07-24,30
2020-07-25,32
2020-07-26,34
2020-07-27,33
2020-07-28,29
2020-07-29,32
2020-07-30,45
2020-07-31,59
2020-08-01,29
2020-08-02,100
2020-08-03,83
2020-08-04,44
2020-08-05,38
2020-08-06,32
2020-08-07,30
2020-08-08,29
2020-08-09,27
2020-08-10,27
2020-08-11,25
2020-08-12,28
2020-08-13,27
2020-08-14,27
2020-08-15,34
2020-08-16,31
2020-08-17,70
2020-08-18,100
2020-08-19,78
2020-08-20,71
2020-08-21,60
2020-08-22,60
2020-08-23,52
2020-08-24,59
2020-08-25,53
2020-08-26,50
2020-08-27,50
2020-08-28,62
2020-08-29,59
2020-08-30,58
2020-08-31,92
2020-09-01,71
2020-09-02,62
2020-09-03,58
2020-09-04,53
2020-09-05,57
2020-09-06,52
2020-09-07,50
2020-09-08,51
2020-09-09,48
2020-09-10,44
2020-09-11,41
2020-09-12,46
2020-09-13,41
2020-09-14,44
2020-09-15,51
2020-09-16,43
2020-09-17,53
2020-09-18,76
2020-09-19,68
2020-09-20,70
2020-09-21,65
2020-09-22,72
2020-09-23,60
2020-09-24,65
2020-09-25,69
2020-09-26,60
2020-09-27,68
2020-09-28,100
2020-09-29,94
2020-09-30,83
2020-10-01,79
2020-10-02,76
2020-10-03,72
2020-10-04,71
2020-10-05,82
2020-10-06,80
2020-10-07,89
2020-10-08,75
2020-10-09,66
2020-10-10,71
2020-10-11,60
2020-10-12,62
2020-10-13,73
2020-10-14,73
2020-10-15,77
2020-10-16,77
2020-10-17,68
2020-10-18,71
2020-10-19,86
2020-10-20,94
2020-10-21,88
2020-10-22,83
2020-10-23,88
2020-10-24,100
2020-10-25,83
2020-10-26,85
2020-10-27,85
2020-10-28,71
2020-10-29,63
2020-10-30,61
2020-10-31,52
2020-11-01,47
2020-11-02,53
2020-11-03,55
2020-11-04,49
2020-11-05,51
2020-11-06,50
2020-11-07,48
2020-11-08,40
2020-11-09,47
2020-11-10,47
2020-11-11,36
2020-11-12,34
2020-11-13,25
2020-11-14,32
2020-11-15,44
2020-11-16,52
2020-11-17,44
2020-11-18,45
2020-11-19,64
2020-11-20,71
2020-11-21,60
2020-11-22,70
2020-11-23,69
2020-11-24,48
2020-11-25,71
2020-11-26,53
2020-11-27,60
2020-11-28,58
2020-11-29,47
2020-11-30,100
2020-12-01,88
2020-12-02,66
2020-12-03,64
2020-12-04,74
2020-12-05,60
2020-12-06,48
2020-12-07,65
2020-12-08,51
2020-12-09,73
2020-12-10,60
2020-12-11,60
2020-12-12,51
2020-12-13,67
2020-12-14,58
2020-12-15,57
2020-12-16,53
2020-12-17,57
2020-12-18,62
2020-12-19,50
2020-12-20,34
2020-12-21,38
2020-12-22,37
2020-12-23,36
2020-12-24,31
2020-12-25,36
2020-12-26,36
2020-12-27,26
2020-12-28,100
2020-12-29,90
2020-12-30,45
2020-12-31,28
2021-01-01,41
2021-01-02,36
2021-01-03,39
2021-01-04,41
2021-01-05,38
2021-01-06,42
2021-01-07,44
2021-01-08,35
2021-01-09,45
2021-01-10,32
2021-01-11,41
2021-01-12,42
2021-01-13,44
2021-01-14,38
2021-01-15,51
2021-01-16,36
2021-01-17,36
2021-01-18,42
2021-01-19,38
2021-01-20,68
2021-01-21,85
2021-01-22,90
2021-01-23,69
2021-01-24,75
2021-01-25,95
2021-01-26,85
2021-01-27,95
2021-01-28,83
2021-01-29,94
2021-01-30,83
2021-01-31,88
2021-02-01,100
2021-02-02,94
2021-02-03,94
2021-02-04,85
2021-02-05,74
2021-02-06,55
2021-02-07,63
2021-02-08,77
2021-02-09,61
2021-02-10,84
2021-02-11,75
2021-02-12,76
2021-02-13,76
2021-02-14,74
2021-02-15,85
2021-02-16,89
2021-02-17,89
2021-02-18,90
2021-02-19,94
2021-02-20,61
2021-02-21,58
2021-02-22,62
2021-02-23,44
2021-02-24,58
2021-02-25,64
2021-02-26,60
2021-02-27,81
2021-02-28,70
2021-03-01,79
2021-03-02,67
2021-03-03,72
2021-03-04,71
2021-03-05,68
2021-03-06,70
2021-03-07,78
2021-03-08,95
2021-03-09,72
2021-03-10,72
2021-03-11,71
2021-03-12,83
2021-03-13,75
2021-03-14,84
2021-03-15,100
2021-03-16,80
2021-03-17,97
2021-03-18,71
2021-03-19,74
2021-03-20,83
