date,masks
2020-03-16,53
2020-03-17,46
2020-03-18,46
2020-03-19,69
2020-03-20,38
2020-03-21,66
2020-03-22,75
2020-03-23,67
2020-03-24,43
2020-03-25,62
2020-03-26,43
2020-03-27,41
2020-03-28,69
2020-03-29,69
2020-03-30,46
2020-03-31,56
2020-04-01,87
2020-04-02,100
2020-04-03,87
2020-04-04,73
2020-04-05,81
2020-04-06,98
2020-04-07,68
2020-04-08,65
2020-04-09,73
2020-04-10,77
2020-04-11,69
2020-04-12,53
2020-04-13,58
2020-04-14,51
2020-04-15,97
2020-04-16,67
2020-04-17,100
2020-04-18,61
2020-04-19,53
2020-04-20,74
2020-04-21,71
2020-04-22,90
2020-04-23,55
2020-04-24,39
2020-04-25,63
2020-04-26,0
2020-04-27,76
2020-04-28,72
2020-04-29,83
2020-04-30,59
2020-05-01,54
2020-05-02,53
2020-05-03,79
2020-05-04,47
2020-05-05,90
2020-05-06,80
2020-05-07,43
2020-05-08,58
2020-05-09,49
2020-05-10,39
2020-05-11,66
2020-05-12,75
2020-05-13,74
2020-05-14,86
2020-05-15,65
2020-05-16,51
2020-05-17,62
2020-05-18,76
2020-05-19,66
2020-05-20,57
2020-05-21,70
2020-05-22,49
2020-05-23,56
2020-05-24,65
2020-05-25,92
2020-05-26,100
2020-05-27,81
2020-05-28,73
2020-05-29,59
2020-05-30,57
2020-05-31,59
2020-06-01,57
2020-06-02,66
2020-06-03,46
2020-06-04,63
2020-06-05,53
2020-06-06,65
2020-06-07,68
2020-06-08,32
2020-06-09,51
2020-06-10,51
2020-06-11,66
2020-06-12,65
2020-06-13,61
2020-06-14,53
2020-06-15,64
2020-06-16,77
2020-06-17,74
2020-06-18,51
2020-06-19,58
2020-06-20,85
2020-06-21,62
2020-06-22,57
2020-06-23,35
2020-06-24,53
2020-06-25,61
2020-06-26,33
2020-06-27,0
2020-06-28,48
2020-06-29,54
2020-06-30,67
2020-07-01,51
2020-07-02,59
2020-07-03,100
2020-07-04,49
2020-07-05,65
2020-07-06,75
2020-07-07,67
2020-07-08,60
2020-07-09,67
2020-07-10,72
2020-07-11,72
2020-07-12,87
2020-07-13,65
2020-07-14,57
2020-07-15,60
2020-07-16,84
2020-07-17,67
2020-07-18,95
2020-07-19,72
2020-07-20,91
2020-07-21,91
2020-07-22,76
2020-07-23,73
2020-07-24,100
2020-07-25,93
2020-07-26,80
2020-07-27,97
2020-07-28,59
2020-07-29,67
2020-07-30,55
2020-07-31,65
2020-08-01,55
2020-08-02,54
2020-08-03,46
2020-08-04,45
2020-08-05,57
2020-08-06,65
2020-08-07,71
2020-08-08,77
2020-08-09,70
2020-08-10,89
2020-08-11,54
2020-08-12,82
2020-08-13,68
2020-08-14,94
2020-08-15,68
2020-08-16,68
2020-08-17,43
2020-08-18,100
2020-08-19,57
2020-08-20,66
2020-08-21,0
2020-08-22,66
2020-08-23,63
2020-08-24,56
2020-08-25,57
2020-08-26,55
2020-08-27,68
2020-08-28,82
2020-08-29,86
2020-08-30,0
2020-08-31,71
2020-09-01,79
2020-09-02,61
2020-09-03,63
2020-09-04,77
2020-09-05,60
2020-09-06,47
2020-09-07,45
2020-09-08,66
2020-09-09,79
2020-09-10,60
2020-09-11,45
2020-09-12,79
2020-09-13,61
2020-09-14,71
2020-09-15,69
2020-09-16,47
2020-09-17,58
2020-09-18,0
2020-09-19,73
2020-09-20,57
2020-09-21,59
2020-09-22,31
2020-09-23,34
2020-09-24,47
2020-09-25,51
2020-09-26,0
2020-09-27,81
2020-09-28,54
2020-09-29,61
2020-09-30,45
2020-10-01,43
2020-10-02,44
2020-10-03,0
2020-10-04,50
2020-10-05,37
2020-10-06,53
2020-10-07,55
2020-10-08,50
2020-10-09,34
2020-10-10,47
2020-10-11,0
2020-10-12,0
2020-10-13,0
2020-10-14,44
2020-10-15,55
2020-10-16,35
2020-10-17,46
2020-10-18,100
2020-10-19,73
2020-10-20,49
2020-10-21,82
2020-10-22,68
2020-10-23,73
2020-10-24,100
2020-10-25,89
2020-10-26,84
2020-10-27,59
2020-10-28,59
2020-10-29,0
2020-10-30,64
2020-10-31,82
2020-11-01,79
2020-11-02,96
2020-11-03,0
2020-11-04,56
