date,sipon
2020-03-16,100
2020-03-17,96
2020-03-18,63
2020-03-19,64
2020-03-20,66
2020-03-21,44
2020-03-22,72
2020-03-23,38
2020-03-24,59
2020-03-25,77
2020-03-26,83
2020-03-27,63
2020-03-28,69
2020-03-29,57
2020-03-30,51
2020-03-31,54
2020-04-01,53
2020-04-02,43
2020-04-03,32
2020-04-04,37
2020-04-05,47
2020-04-06,32
2020-04-07,31
2020-04-08,49
2020-04-09,0
2020-04-10,0
2020-04-11,56
2020-04-12,73
2020-04-13,0
2020-04-14,34
2020-04-15,51
2020-04-16,67
2020-04-17,67
2020-04-18,59
2020-04-19,66
2020-04-20,0
2020-04-21,0
2020-04-22,0
2020-04-23,0
2020-04-24,57
2020-04-25,0
2020-04-26,0
2020-04-27,78
2020-04-28,67
2020-04-29,100
2020-04-30,0
2020-05-01,0
2020-05-02,55
2020-05-03,75
2020-05-04,0
2020-05-05,0
2020-05-06,0
2020-05-07,0
2020-05-08,0
2020-05-09,0
2020-05-10,0
2020-05-11,0
2020-05-12,0
2020-05-13,0
2020-05-14,52
2020-05-15,0
2020-05-16,64
2020-05-17,0
2020-05-18,0
2020-05-19,51
2020-05-20,0
2020-05-21,0
2020-05-22,0
2020-05-23,0
2020-05-24,0
2020-05-25,0
2020-05-26,66
2020-05-27,0
2020-05-28,0
2020-05-29,0
2020-05-30,0
2020-05-31,0
2020-06-01,71
2020-06-02,0
2020-06-03,0
2020-06-04,0
2020-06-05,0
2020-06-06,64
2020-06-07,76
2020-06-08,0
2020-06-09,0
2020-06-10,69
2020-06-11,46
2020-06-12,61
2020-06-13,69
2020-06-14,100
2020-06-15,97
2020-06-16,85
2020-06-17,56
2020-06-18,54
2020-06-19,64
2020-06-20,52
2020-06-21,56
2020-06-22,55
2020-06-23,76
2020-06-24,56
2020-06-25,61
2020-06-26,70
2020-06-27,78
2020-06-28,82
2020-06-29,75
2020-06-30,50
2020-07-01,100
2020-07-02,92
2020-07-03,96
2020-07-04,92
2020-07-05,67
2020-07-06,70
2020-07-07,81
2020-07-08,75
2020-07-09,57
2020-07-10,73
2020-07-11,78
2020-07-12,75
2020-07-13,84
2020-07-14,66
2020-07-15,94
2020-07-16,49
2020-07-17,88
2020-07-18,54
2020-07-19,53
2020-07-20,77
2020-07-21,62
2020-07-22,72
2020-07-23,67
2020-07-24,50
2020-07-25,39
2020-07-26,100
2020-07-27,33
2020-07-28,65
2020-07-29,60
2020-07-30,43
2020-07-31,51
2020-08-01,63
2020-08-02,57
2020-08-03,50
2020-08-04,43
2020-08-05,50
2020-08-06,40
2020-08-07,37
2020-08-08,37
2020-08-09,45
2020-08-10,29
2020-08-11,34
2020-08-12,44
2020-08-13,24
2020-08-14,45
2020-08-15,37
2020-08-16,79
2020-08-17,37
2020-08-18,62
2020-08-19,45
2020-08-20,61
2020-08-21,100
2020-08-22,67
2020-08-23,51
2020-08-24,54
2020-08-25,78
2020-08-26,0
2020-08-27,69
2020-08-28,63
2020-08-29,61
2020-08-30,50
2020-08-31,0
2020-09-01,46
2020-09-02,42
2020-09-03,43
2020-09-04,65
2020-09-05,68
2020-09-06,59
2020-09-07,0
2020-09-08,51
2020-09-09,35
2020-09-10,54
2020-09-11,54
2020-09-12,66
2020-09-13,62
2020-09-14,64
2020-09-15,56
2020-09-16,59
2020-09-17,58
2020-09-18,57
2020-09-19,76
2020-09-20,61
2020-09-21,35
2020-09-22,51
2020-09-23,72
2020-09-24,54
2020-09-25,40
2020-09-26,66
2020-09-27,78
2020-09-28,88
2020-09-29,0
2020-09-30,55
2020-10-01,45
2020-10-02,100
2020-10-03,88
2020-10-04,55
2020-10-05,50
2020-10-06,73
2020-10-07,0
2020-10-08,0
2020-10-09,66
2020-10-10,91
2020-10-11,50
2020-10-12,59
2020-10-13,47
2020-10-14,51
2020-10-15,65
2020-10-16,52
2020-10-17,0
2020-10-18,58
2020-10-19,72
2020-10-20,71
2020-10-21,76
2020-10-22,86
2020-10-23,82
2020-10-24,96
2020-10-25,88
2020-10-26,55
2020-10-27,71
2020-10-28,45
2020-10-29,0
2020-10-30,79
2020-10-31,78
2020-11-01,69
2020-11-02,97
2020-11-03,84
2020-11-04,97
2020-11-05,47
2020-11-06,79
2020-11-07,0
2020-11-08,90
2020-11-09,58
2020-11-10,76
2020-11-11,75
2020-11-12,100
2020-11-13,97
2020-11-14,65
2020-11-15,81
2020-11-16,73
2020-11-17,71
2020-11-18,91
2020-11-19,37
2020-11-20,64
2020-11-21,67
2020-11-22,73
2020-11-23,63
2020-11-24,59
2020-11-25,57
2020-11-26,80
2020-11-27,84
2020-11-28,100
2020-11-29,53
2020-11-30,85
2020-12-01,85
2020-12-02,78
2020-12-03,70
2020-12-04,56
2020-12-05,61
2020-12-06,47
2020-12-07,41
2020-12-08,80
2020-12-09,0
2020-12-10,47
2020-12-11,0
2020-12-12,68
2020-12-13,44
2020-12-14,73
2020-12-15,63
2020-12-16,77
2020-12-17,0
2020-12-18,51
2020-12-19,44
