date,Frontliners
2020-03-16,14
2020-03-17,24
2020-03-18,33
2020-03-19,19
2020-03-20,26
2020-03-21,31
2020-03-22,48
2020-03-23,52
2020-03-24,63
2020-03-25,60
2020-03-26,64
2020-03-27,71
2020-03-28,78
2020-03-29,68
2020-03-30,73
2020-03-31,82
2020-04-01,80
2020-04-02,99
2020-04-03,95
2020-04-04,100
2020-04-05,88
2020-04-06,90
2020-04-07,69
2020-04-08,71
2020-04-09,67
2020-04-10,55
2020-04-11,42
2020-04-12,55
2020-04-13,49
2020-04-14,52
2020-04-15,62
2020-04-16,82
2020-04-17,89
2020-04-18,83
2020-04-19,79
2020-04-20,85
2020-04-21,89
2020-04-22,81
2020-04-23,92
2020-04-24,83
2020-04-25,84
2020-04-26,69
2020-04-27,81
2020-04-28,77
2020-04-29,100
2020-04-30,77
2020-05-01,75
2020-05-02,76
2020-05-03,44
2020-05-04,55
2020-05-05,65
2020-05-06,40
2020-05-07,59
2020-05-08,60
2020-05-09,47
2020-05-10,35
2020-05-11,48
2020-05-12,46
2020-05-13,48
2020-05-14,43
2020-05-15,38
2020-05-16,39
2020-05-17,93
2020-05-18,90
2020-05-19,78
2020-05-20,81
2020-05-21,100
2020-05-22,70
2020-05-23,92
2020-05-24,79
2020-05-25,92
2020-05-26,96
2020-05-27,65
2020-05-28,65
2020-05-29,53
2020-05-30,0
2020-05-31,85
2020-06-01,66
2020-06-02,0
2020-06-03,65
2020-06-04,58
2020-06-05,47
2020-06-06,58
2020-06-07,0
2020-06-08,38
2020-06-09,0
2020-06-10,0
2020-06-11,49
2020-06-12,55
2020-06-13,51
2020-06-14,44
2020-06-15,71
2020-06-16,42
2020-06-17,0
2020-06-18,51
2020-06-19,45
2020-06-20,60
2020-06-21,0
2020-06-22,52
2020-06-23,0
2020-06-24,47
2020-06-25,68
2020-06-26,53
2020-06-27,0
2020-06-28,0
2020-06-29,0
2020-06-30,50
2020-07-01,0
2020-07-02,0
2020-07-03,100
2020-07-04,0
2020-07-05,0
2020-07-06,0
2020-07-07,0
2020-07-08,0
2020-07-09,0
2020-07-10,0
2020-07-11,0
2020-07-12,0
2020-07-13,0
2020-07-14,0
2020-07-15,0
2020-07-16,0
2020-07-17,0
2020-07-18,0
2020-07-19,0
2020-07-20,0
2020-07-21,0
2020-07-22,0
2020-07-23,0
2020-07-24,0
2020-07-25,0
2020-07-26,0
2020-07-27,0
2020-07-28,0
2020-07-29,20
2020-07-30,22
2020-07-31,27
2020-08-01,54
2020-08-02,91
2020-08-03,100
2020-08-04,61
2020-08-05,46
