date,rashes
2020-03-16,66
2020-03-17,86
2020-03-18,37
2020-03-19,58
2020-03-20,64
2020-03-21,48
2020-03-22,94
2020-03-23,99
2020-03-24,91
2020-03-25,74
2020-03-26,80
2020-03-27,85
2020-03-28,95
2020-03-29,88
2020-03-30,98
2020-03-31,70
2020-04-01,77
2020-04-02,100
2020-04-03,73
2020-04-04,72
2020-04-05,53
2020-04-06,73
2020-04-07,86
2020-04-08,64
2020-04-09,66
2020-04-10,70
2020-04-11,74
2020-04-12,70
2020-04-13,99
2020-04-14,85
2020-04-15,57
2020-04-16,51
2020-04-17,48
2020-04-18,57
2020-04-19,46
2020-04-20,41
2020-04-21,40
2020-04-22,52
2020-04-23,53
2020-04-24,71
2020-04-25,72
2020-04-26,62
2020-04-27,76
2020-04-28,46
2020-04-29,46
2020-04-30,49
2020-05-01,64
2020-05-02,71
2020-05-03,45
2020-05-04,41
2020-05-05,52
2020-05-06,76
2020-05-07,56
2020-05-08,63
2020-05-09,91
2020-05-10,80
2020-05-11,78
2020-05-12,100
2020-05-13,43
2020-05-14,44
2020-05-15,38
2020-05-16,46
2020-05-17,69
2020-05-18,67
2020-05-19,85
2020-05-20,77
2020-05-21,94
2020-05-22,100
2020-05-23,58
2020-05-24,76
2020-05-25,71
2020-05-26,69
2020-05-27,66
2020-05-28,39
2020-05-29,60
2020-05-30,43
2020-05-31,81
2020-06-01,70
2020-06-02,80
2020-06-03,56
2020-06-04,73
2020-06-05,58
2020-06-06,71
2020-06-07,63
2020-06-08,67
2020-06-09,42
2020-06-10,55
2020-06-11,52
2020-06-12,51
2020-06-13,48
2020-06-14,57
2020-06-15,39
2020-06-16,67
2020-06-17,77
2020-06-18,62
2020-06-19,71
2020-06-20,74
2020-06-21,52
2020-06-22,94
2020-06-23,76
2020-06-24,100
2020-06-25,88
2020-06-26,88
2020-06-27,83
2020-06-28,60
2020-06-29,80
2020-06-30,82
2020-07-01,83
2020-07-02,95
2020-07-03,98
2020-07-04,95
2020-07-05,85
2020-07-06,77
2020-07-07,56
2020-07-08,71
2020-07-09,89
2020-07-10,80
2020-07-11,86
2020-07-12,90
2020-07-13,86
2020-07-14,80
2020-07-15,67
2020-07-16,75
2020-07-17,96
2020-07-18,71
2020-07-19,100
2020-07-20,79
2020-07-21,87
2020-07-22,37
2020-07-23,58
2020-07-24,43
2020-07-25,63
2020-07-26,62
2020-07-27,78
2020-07-28,59
2020-07-29,50
2020-07-30,59
2020-07-31,48
2020-08-01,64
2020-08-02,81
2020-08-03,62
2020-08-04,56
2020-08-05,55
2020-08-06,70
2020-08-07,57
2020-08-08,40
2020-08-09,55
2020-08-10,67
2020-08-11,39
2020-08-12,81
2020-08-13,52
2020-08-14,70
2020-08-15,89
2020-08-16,72
2020-08-17,48
2020-08-18,60
2020-08-19,71
2020-08-20,68
2020-08-21,84
2020-08-22,93
2020-08-23,74
2020-08-24,78
2020-08-25,88
2020-08-26,70
2020-08-27,53
2020-08-28,57
2020-08-29,83
2020-08-30,84
2020-08-31,72
2020-09-01,71
2020-09-02,54
2020-09-03,61
2020-09-04,62
2020-09-05,100
2020-09-06,82
2020-09-07,68
2020-09-08,63
2020-09-09,69
2020-09-10,37
2020-09-11,60
